#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.knownGene.alignID	hg38.kgXref.geneSymbol
ENST00000466159.6	chr6	-	152462529	152628483	152462722	152628331	18	152462529,152463352,152465257,152465981,152471596,152472300,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152628264,	152462890,152463517,152465460,152466078,152471765,152472413,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152628483,	F5H4Q0	uc003qpa.2	SYNE1
ENST00000481502.5	chr6	-	152463475	152471995	152463475	152463475	5	152463475,152465257,152465981,152471596,152471826,	152463517,152465460,152466078,152471670,152471995,		uc063siv.1	SYNE1
ENST00000468937.2	chr6	-	152465257	152472519	152465257	152465257	4	152465257,152465981,152471596,152472300,	152465460,152466078,152471765,152472519,		uc063siw.1	SYNE1
ENST00000537750.5	chr6	-	152465292	152637801	152465292	152628331	17	152465292,152465981,152471596,152472300,152483084,152484834,152488395,152502632,152505200,152510192,152511010,152520458,152526079,152539959,152628264,152636637,152637188,	152465460,152466078,152471765,152472413,152483249,152484972,152488503,152502742,152505397,152510371,152511103,152520542,152526175,152540021,152628554,152636805,152637801,	F5GYQ7	uc063six.1	SYNE1
ENST00000610489.2	chr6	-	152477915	152637399	152478516	152628331	16	152477915,152483084,152484834,152488395,152498741,152502632,152505200,152510192,152511010,152511570,152520458,152526079,152539959,152628264,152636637,152637188,	152478630,152483249,152484972,152488503,152498792,152502742,152505397,152510371,152511103,152511591,152520542,152526175,152540021,152628554,152636805,152637399,	I6XKI8	uc063siy.2	SYNE1
ENST00000449282.2	chr6	+	152545929	152546984	152545929	152545929	2	152545929,152546388,	152546060,152546984,		uc063siz.1	NANOGP11
ENST00000529453.1	chr6	+	152697896	152723284	152697902	152722770	2	152697896,152722762,	152698098,152723284,	E9PQ55	uc063sja.1	MYCT1
ENST00000367245.6	chr6	+	152697896	152724569	152697902	152722253	2	152697896,152721741,	152698098,152724569,	Q8N699	uc003qpc.6	MYCT1
ENST00000532295.1	chr6	+	152697960	152724501	152697960	152722253	3	152697960,152721741,152722762,	152698098,152722253,152724501,	H0YDV5	uc063sjb.1	MYCT1
ENST00000402302.2	chr6	+	152705734	152706128	152705734	152705734	1	152705734,	152706128,		uc286yui.1	HSPD1P16
